codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude,regiao,nome,preco,volume_medio,dividend_yield,patrimonio_liquido,p_vp,cotas,segmento,valorizacao_12_meses,patrimonio_liquido_em_milhoes
KNRI11,Edifício Madison,"Rua Gomes de Carvalho, 1.195",Vila Olímpia,SP,São Paulo,"8.432,00 m2","Rua Gomes de Carvalho, 1.195, São Paulo, SP",-23.5975,-46.6846,Sudeste,KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,151.33,27566,0.49,2600000000.0,1.05,258979.0,Híbrido,0.03,2600.0
KNRI11,Joaquim Floriano,"Rua Joaquim Floriano, 913",Itaim,SP,São Paulo,"3.197,00 m2","Rua Joaquim Floriano, 913, São Paulo, SP",-23.5858,-46.6789,Sudeste,KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,151.33,27566,0.49,2600000000.0,1.05,258979.0,Híbrido,0.03,2600.0
NVHO11,Hospital São Luiz,"Rua Doutor Alceu de Campos Rodrigues, 95",Itaim Bibi,SP,São Paulo,"30.359,18 m2","Rua Doutor Alceu de Campos Rodrigues, 95, São Paulo, SP",-23.5904,-46.6735,Sudeste,FDO INV IMOB - FII NOVO HORIZONTE,31.1,166,0.18,300000000.0,4.33,41494533.0,Hospital,0.03,300.0
ONEF11,The One,"Rua Ministro Jesuíno Cardoso, 454",Itaim Bibi,SP,São Paulo,"6.015,00 m2","Rua Ministro Jesuíno Cardoso, 454, São Paulo, SP",-23.5926,-46.681999999999995,Sudeste,FDO INV IMOB THE ONE,145.4,570,0.49,100000000.0,1.3,32100.0,Lajes Corporativas,0.02,100.0
PABY11,Condomínio Villaggio Panamby,"Rua Itapaiúna, 1800",Vila Andrade,SP,São Paulo,m2,"Rua Itapaiúna, 1800, São Paulo, SP",-23.6372,-46.7272,Sudeste,FDO INV IMOB PANAMBY,23.49,80,0.0,190000000.0,0.09,758400.0,Híbrido,0.05,190.0
RDES11,Ed. Tenente Negrão,"Rua Tenente Negrão, 166",,SP,São Paulo,"4.052,00 m2","Rua Tenente Negrão, 166, São Paulo, SP",-23.5852,-46.6723,Sudeste,RENDA DE ESCRITÓRIOS FDO INV IMOB - FII,70.89,315,0.07,61000000.0,0.86,742000.0,Lajes Corporativas,-0.09,61.0
SAAG11,Avenida Paulista,"Avenida Paulista , nº 436",Bela Vista,SP,São Paulo,"2.857,24 m2","Avenida Paulista , nº 436, São Paulo, SP",-23.5684,-46.6478,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SAAG11,Berrini,"Avenida . Eng . Luiz Carlos Berrini , nº 1307",Brooklin Paulista,SP,São Paulo,"1.873,73 m2","Avenida . Eng . Luiz Carlos Berrini , nº 1307, São Paulo, SP",-23.6083,-46.6938,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SAAG11,Cons . Rodrigues Alves,"Rua Cons . Rodrigues Alves , nº 53",Vila Mariana,SP,São Paulo,"1.093,00 m2","Rua Cons . Rodrigues Alves , nº 53, São Paulo, SP",-23.7445,-46.6624,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SAAG11,Duque de Caxias,"Rua Duque de Caxias , nº 200",Campo Eliseos,SP,São Paulo,"2.107,31 m2","Rua Duque de Caxias , nº 200, São Paulo, SP",-23.6679,-46.4492,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SAAG11,Liberdade,"Avenida da Liberdade , nº 151",São Paulo/SP,SP,São Paulo,"5.001,70 m2","Avenida da Liberdade , nº 151, São Paulo, SP",-23.5543,-46.6352,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SAAG11,Monções,"Avenida Santo Amaro , nº 3.330",Brooklin Paulista,SP,São Paulo,"882,00 m2","Avenida Santo Amaro , nº 3.330, São Paulo, SP",-23.6133,-46.6785,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SAAG11,Nova Paulista,"Avenida . Paulista , nº 726",Bela Vista,SP,São Paulo,"693,32 m2","Avenida . Paulista , nº 726, São Paulo, SP",-23.5668,-46.6498,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SAAG11,Olivetti - Paulista,"Avenida Paulista , nº 447",Paraíso,SP,São Paulo,"1.010,00 m2","Avenida Paulista , nº 447, São Paulo, SP",-23.5688,-46.648,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
