codigo;nome;preco;volume_medio;dividend_yield;patrimonio_liquido;p_vp;cotas;segmento;valorizacao_12_meses
HFOF11;HEDGE TOP FOFII 3 FDO INV IMOB;R$ 102,00;8433;1.22;R$ 240 mi;1.04;2208467;Títulos e Val. Mob.;-0.01
HGBS11;CSHG BRASIL SHOPPING - FDO INV IMOB - FII;R$ 251,00;9184;0.55;R$ 1,2 bi;1.12;45000;Shoppings;-0.03
HGCR11;CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII;R$ 114,30;16251;0.59;R$ 270 mi;1.09;30000;Títulos e Val. Mob.;-0.0
HGJH11;CSHG JHSF PRIME OFFICES FDO INV IMOB - FII;R$ 184,50;1165;0.44;R$ 250 mi;1.23;165000;Lajes Corporativas;0.28
HGLG11;CSHG LOGÍSTICA FDO INV IMOB - FII;R$ 148,42;10614;0.48;R$ 950 mi;1.23;7881340;Logística;0.03
HGRE11;CSHG REAL ESTATE FDO INV IMOB - FII;R$ 148,80;11810;0.47;R$ 1,1 bi;0.98;40000;Lajes Corporativas;0.02
HGRU11;CSHG RENDA URBANA - FDO INV IMOB - FII;R$ 108,35;2639;0.58;R$ 150 mi;1.05;1500000;Híbrido;0.0
HMOC11;HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB;R$ 230,00;2985;0.56;R$ 69 mi;1.28;382017;Shoppings;-0.14
HUSC11;FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA;R$ 173,99;12;0.84;R$ 72 mi;1.74;721821;Outros;0.0
IRDM11;FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS;R$ 113,78;6389;0.70;R$ 180 mi;1.19;1080000;Títulos e Val. Mob.;-0.0
JSRE11;JS REAL ESTATE MULTIGESTÃO - FII;R$ 105,07;11617;0.52;R$ 900 mi;0.95;60000;Híbrido;0.0
KNCR11;KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII;R$ 103,85;34318;0.57;R$ 3,7 bi;0.99;200000;Títulos e Val. Mob.;0.0
KNHY11;KINEA HIGH YIELD CRI FDO INV IMOB - FII;R$ 114,99;1446;0.88;R$ 420 mi;1.1;4000000;Títulos e Val. Mob.;0.0
KNIP11;KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII;R$ 112,82;13935;0.76;R$ 1,9 bi;1.06;4000000;Títulos e Val. Mob.;0.03
KNRE11;KINEA II REAL ESTATE EQUITY FDO INV IMOB;R$ 8,70;9619;0.96;R$ 130 mi;1.28;10000;Residencial;-0.37
KNRI11;KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;R$ 151,33;27566;0.49;R$ 2,6 bi;1.05;258979;Híbrido;0.03
LVBI11;FDO INV IMOB - VBI LOGÍSTICO;R$ 113,00;481;0.62;R$ 300 mi;1.16;3030000;Logística;0.0
MALL11;MALLS BRASIL PLURAL FDO INV IMOB;R$ 106,02;7295;0.55;R$ 290 mi;0.97;1860134;Shoppings;0.14
MBRF11;FDO INV IMOB MERCANTIL DO BRASIL - FII;R$ 1.200,01;60;0.70;R$ 120 mi;1.02;101664;Outros;0.03
MFII11;MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I - FII;R$ 110,25;4515;1.04;R$ 200 mi;1.1;57000;Híbrido;-0.11
MXRF11;MAXI RENDA FDO INV IMOB - FII;R$ 11,47;66809;0.62;R$ 290 mi;1.24;538834;Híbrido;-0.03
NVHO11;FDO INV IMOB - FII NOVO HORIZONTE;R$ 31,10;166;0.18;R$ 300 mi;4.33;41494533;Hospital;0.03
